"Name","Arrests"
"Description","Arrests by offense type.&nbsp;"
"Source Notes","New York Police Department,&nbsp;Historical New York City Crime Data (2000-2019); Retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/nypd/stats/crime-statistics/historical.page"" target=""_blank"">https://www1.nyc.gov/site/nypd/stats/crime-statistics/historical.page</a>"
"Notes","Rates refer to the number of felonies reported per 1,000 residents. U.S. Census Bureau 2000 Decennial Census counts were used to calculate rates for years 2000 through 2004. See&nbsp;<a href=""http://admin.data.cccnewyork.org/http://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/22/a"">Total Population data</a><a href=""http://admin.data.cccnewyork.org/http://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/22/a"">&nbsp;</a>for more detailed notes and sources for population data. Information is accurate as of the date it was queried from the system of&nbsp;<g class=""gr_ gr_11 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""11"" data-gr-id=""11"">record,</g>&nbsp;but should be considered a close approximation of current records, due to complaint revisions and updates.&nbsp;<br />
<br />
Precinct and boroughwide totals might not sum to the citywide total, as they include arrests occurring within the Department of Corrections.<br />
<span style=""font-size: 18px;""><br />
<strong><a href=""https://www1.nyc.gov/site/nypd/bureaus/patrol/find-your-precinct.page"" target=""_blank"">Find your precinct </a><a href=""https://www1.nyc.gov/site/nypd/bureaus/patrol/find-your-precinct.page"" target=""_blank"">here</a><a href=""https://www1.nyc.gov/site/nypd/bureaus/patrol/find-your-precinct.page"" target=""_blank"">.&nbsp;</a></strong></span>"

Location,Offense Type,TimeFrame,DataFormat,Data,Fips
Bronx,Misdemeanors,2000,Number,92540,36005
Bronx,Non-Violent Felonies,2000,Number,37885,36005
Bronx,Violent Felonies,2000,Number,13016,36005
Bronx,Misdemeanors,2001,Number,83603,36005
Bronx,Non-Violent Felonies,2001,Number,34293,36005
Bronx,Violent Felonies,2001,Number,11563,36005
Bronx,Misdemeanors,2002,Number,80751,36005
Bronx,Non-Violent Felonies,2002,Number,32312,36005
Bronx,Violent Felonies,2002,Number,11099,36005
Bronx,Misdemeanors,2003,Number,82305,36005
Bronx,Non-Violent Felonies,2003,Number,30255,36005
Bronx,Violent Felonies,2003,Number,10480,36005
Bronx,Misdemeanors,2004,Number,82062,36005
Bronx,Non-Violent Felonies,2004,Number,29785,36005
Bronx,Violent Felonies,2004,Number,10145,36005
Bronx,Misdemeanors,2005,Number,82358,36005
Bronx,Non-Violent Felonies,2005,Number,28756,36005
Bronx,Violent Felonies,2005,Number,9926,36005
Bronx,Misdemeanors,2008,Number,89831,36005
Bronx,Non-Violent Felonies,2008,Number,28446,36005
Bronx,Violent Felonies,2008,Number,9390,36005
Bronx,Misdemeanors,2006,Number,84399,36005
Bronx,Non-Violent Felonies,2006,Number,28043,36005
Bronx,Violent Felonies,2006,Number,9831,36005
Bronx,Misdemeanors,2007,Number,90067,36005
Bronx,Non-Violent Felonies,2007,Number,29152,36005
Bronx,Violent Felonies,2007,Number,9465,36005
Bronx,Misdemeanors,2009,Number,94069,36005
Bronx,Non-Violent Felonies,2009,Number,26412,36005
Bronx,Violent Felonies,2009,Number,8844,36005
Bronx,Misdemeanors,2012,Number,86296,36005
Bronx,Non-Violent Felonies,2012,Number,23220,36005
Bronx,Violent Felonies,2012,Number,9968,36005
Bronx,Misdemeanors,2010,Number,94667,36005
Bronx,Non-Violent Felonies,2010,Number,24193,36005
Bronx,Violent Felonies,2010,Number,9464,36005
Bronx,Misdemeanors,2011,Number,89693,36005
Bronx,Non-Violent Felonies,2011,Number,23773,36005
Bronx,Violent Felonies,2011,Number,9456,36005
Bronx,Misdemeanors,2013,Number,81033,36005
Bronx,Non-Violent Felonies,2013,Number,22504,36005
Bronx,Violent Felonies,2013,Number,10255,36005
Bronx,Misdemeanors,2014,Number,79591,36005
Bronx,Non-Violent Felonies,2014,Number,21914,36005
Bronx,Violent Felonies,2014,Number,9584,36005
Bronx,Misdemeanors,2015,Number,74004,36005
Bronx,Non-Violent Felonies,2015,Number,21893,36005
Bronx,Violent Felonies,2015,Number,10202,36005
Bronx,Misdemeanors,2016,Number,70962,36005
Bronx,Non-Violent Felonies,2016,Number,22295,36005
Bronx,Violent Felonies,2016,Number,10325,36005
Bronx,Misdemeanors,2017,Number,66315,36005
Bronx,Non-Violent Felonies,2017,Number,21217,36005
Bronx,Violent Felonies,2017,Number,9442,36005
Bronx,Misdemeanors,2018,Number,60783,36005
Bronx,Non-Violent Felonies,2018,Number,19638,36005
Bronx,Violent Felonies,2018,Number,9327,36005
Brooklyn,Misdemeanors,2003,Number,109055,36047
Brooklyn,Non-Violent Felonies,2003,Number,45013,36047
Brooklyn,Violent Felonies,2003,Number,17296,36047
Brooklyn,Misdemeanors,2002,Number,112944,36047
Brooklyn,Non-Violent Felonies,2002,Number,49133,36047
Brooklyn,Violent Felonies,2002,Number,18374,36047
Brooklyn,Misdemeanors,2001,Number,123611,36047
Brooklyn,Non-Violent Felonies,2001,Number,52596,36047
Brooklyn,Violent Felonies,2001,Number,19887,36047
Brooklyn,Misdemeanors,2000,Number,130903,36047
Brooklyn,Non-Violent Felonies,2000,Number,57274,36047
Brooklyn,Violent Felonies,2000,Number,22434,36047
Brooklyn,Misdemeanors,2011,Number,113851,36047
Brooklyn,Non-Violent Felonies,2011,Number,37989,36047
Brooklyn,Violent Felonies,2011,Number,14295,36047
Brooklyn,Misdemeanors,2010,Number,115169,36047
Brooklyn,Non-Violent Felonies,2010,Number,37861,36047
Brooklyn,Violent Felonies,2010,Number,12971,36047
Brooklyn,Misdemeanors,2012,Number,110487,36047
Brooklyn,Non-Violent Felonies,2012,Number,39562,36047
Brooklyn,Violent Felonies,2012,Number,14544,36047
Brooklyn,Misdemeanors,2009,Number,113054,36047
Brooklyn,Non-Violent Felonies,2009,Number,39604,36047
Brooklyn,Violent Felonies,2009,Number,12569,36047
Brooklyn,Misdemeanors,2007,Number,108470,36047
Brooklyn,Non-Violent Felonies,2007,Number,45127,36047
Brooklyn,Violent Felonies,2007,Number,14294,36047
Brooklyn,Misdemeanors,2006,Number,105381,36047
Brooklyn,Non-Violent Felonies,2006,Number,46034,36047
Brooklyn,Violent Felonies,2006,Number,14979,36047
Brooklyn,Misdemeanors,2008,Number,108202,36047
Brooklyn,Non-Violent Felonies,2008,Number,43684,36047
Brooklyn,Violent Felonies,2008,Number,14064,36047
Brooklyn,Misdemeanors,2005,Number,104548,36047
Brooklyn,Non-Violent Felonies,2005,Number,47110,36047
Brooklyn,Violent Felonies,2005,Number,15824,36047
Brooklyn,Misdemeanors,2004,Number,103224,36047
Brooklyn,Non-Violent Felonies,2004,Number,46143,36047
Brooklyn,Violent Felonies,2004,Number,16078,36047
Brooklyn,Misdemeanors,2018,Number,77532,36047
Brooklyn,Non-Violent Felonies,2018,Number,34936,36047
Brooklyn,Violent Felonies,2018,Number,10978,36047
Brooklyn,Misdemeanors,2017,Number,84996,36047
Brooklyn,Non-Violent Felonies,2017,Number,35331,36047
Brooklyn,Violent Felonies,2017,Number,11128,36047
Brooklyn,Misdemeanors,2016,Number,88298,36047
Brooklyn,Non-Violent Felonies,2016,Number,36341,36047
Brooklyn,Violent Felonies,2016,Number,11913,36047
Brooklyn,Misdemeanors,2015,Number,90857,36047
Brooklyn,Non-Violent Felonies,2015,Number,38165,36047
Brooklyn,Violent Felonies,2015,Number,12617,36047
Brooklyn,Misdemeanors,2014,Number,97938,36047
Brooklyn,Non-Violent Felonies,2014,Number,39547,36047
Brooklyn,Violent Felonies,2014,Number,13168,36047
Brooklyn,Misdemeanors,2013,Number,102603,36047
Brooklyn,Non-Violent Felonies,2013,Number,39531,36047
Brooklyn,Violent Felonies,2013,Number,14302,36047
Manhattan,Misdemeanors,2018,Number,69574,36061
Manhattan,Non-Violent Felonies,2018,Number,30761,36061
Manhattan,Violent Felonies,2018,Number,6861,36061
Manhattan,Misdemeanors,2016,Number,83775,36061
Manhattan,Non-Violent Felonies,2016,Number,32355,36061
Manhattan,Violent Felonies,2016,Number,6968,36061
Manhattan,Misdemeanors,2017,Number,80277,36061
